# This table combines: (1) a validated ML risk model (see model_card.md), (2) real engagement survey data covering 49.7% of employees (Step 13 -- do not generalize to the rest), (3) O*NET role mappings with confidence levels ranging from very_low to medium -- none are exact matches (see data_relationships.md Open Issue #1), and (4) SYNTHETIC skill-gap and recommendation data (Steps 15-18) that has NOT been validated against real employee skill records. Sections 3 and 4 are illustrative of MVP capability, not production-ready HR guidance.
EmployeeNumber,Department,JobRole,RiskScore,RiskLevel,EngagementScore,SatisfactionScore,WorkLifeBalanceScore,ONET_Title,ONET_Confidence,SkillGapCount,SkillGapSeverity,Top3Recommendations 
896,Sales,Sales Representative,0.8075,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,6.0,MEDIUM,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Business & Technical Writing: Structuring Executive Summaries & Proposals; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
897,Sales,Sales Executive,0.1327,LOW,,,,Sales Managers,low,5.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar
899,Research & Development,Manufacturing Director,0.379,LOW,,,,Industrial Production Managers,low,1.0,LOW,Operational Process Auditing & KPI Performance Monitoring Protocols
900,Sales,Sales Representative,0.5793,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,1.0,LOW,Advanced Statistical Inference & Predictive Modeling using IBM SPSS
901,Research & Development,Research Director,0.0138,LOW,,,,Natural Sciences Managers,low,1.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
902,Research & Development,Healthcare Representative,0.1296,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,4.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop
903,Sales,Sales Executive,0.4387,HIGH,,,,Sales Managers,low,3.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Adobe Creative Cloud Bootcamp: Multi-App Visual Design & Asset Management
904,Sales,Sales Executive,0.6668,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
905,Research & Development,Manager,0.0793,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
909,Human Resources,Human Resources,0.1034,LOW,,,,Human Resources Specialists,medium,4.0,MEDIUM,"Strategic Problem Solving & Root Cause Decision Analysis Seminar; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Corporate Layout Design, Multi-Page Publishing & Pitch Decks with InDesign"
910,Human Resources,Human Resources,0.394,LOW,,,,Human Resources Specialists,medium,4.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar; Corporate Layout Design, Multi-Page Publishing & Pitch Decks with InDesign"
911,Research & Development,Laboratory Technician,0.9736,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Google Workspace Collaboration: Document Co-Authoring & Cloud Governance
912,Research & Development,Laboratory Technician,0.2259,LOW,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Technical & Regulatory Documentation Analysis Workshop
913,Research & Development,Research Scientist,0.7314,HIGH,,,,Computer and Information Research Scientists,medium,3.0,LOW,Technical & Regulatory Documentation Analysis Workshop; AWS Compute Architecture: Scalable EC2 Fleet Management & Auto-Scaling; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
916,Sales,Sales Executive,0.5287,HIGH,,,,Sales Managers,low,4.0,MEDIUM,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling"
918,Research & Development,Laboratory Technician,0.8343,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,3.0,LOW,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Time Management, Calendar Optimization & Executive Email Triage in Outlook"
920,Research & Development,Manufacturing Director,0.274,LOW,,,,Industrial Production Managers,low,7.0,HIGH,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Operational Process Auditing & KPI Performance Monitoring Protocols; Technical & Regulatory Documentation Analysis Workshop
922,Sales,Sales Representative,0.7493,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,3.0,LOW,"Business & Technical Writing: Structuring Executive Summaries & Proposals; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
923,Research & Development,Research Scientist,0.1554,LOW,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Cloud Data Warehousing & High-Performance SQL Analytics with Amazon Redshift
924,Research & Development,Healthcare Representative,0.0858,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,0.0,LOW,None - No skill gaps identified
925,Sales,Sales Representative,0.6813,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,3.0,LOW,Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub; Advanced Statistical Inference & Predictive Modeling using IBM SPSS; Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp
926,Research & Development,Manufacturing Director,0.3847,LOW,,,,Industrial Production Managers,low,1.0,LOW,"Corporate Layout Design, Multi-Page Publishing & Pitch Decks with InDesign"
927,Research & Development,Laboratory Technician,0.7196,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
930,Research & Development,Research Scientist,0.1061,LOW,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
932,Research & Development,Laboratory Technician,0.8771,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,6.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Strategic Problem Solving & Root Cause Decision Analysis Seminar
933,Research & Development,Research Scientist,0.2702,LOW,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
934,Research & Development,Laboratory Technician,0.4558,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; Google Workspace Collaboration: Document Co-Authoring & Cloud Governance"
936,Sales,Sales Executive,0.5168,HIGH,,,,Sales Managers,low,1.0,LOW,Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling
939,Research & Development,Research Scientist,0.7318,HIGH,,,,Computer and Information Research Scientists,medium,8.0,HIGH,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
940,Research & Development,Healthcare Representative,0.0935,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,3.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; Advanced Statistical Inference & Predictive Modeling using IBM SPSS
941,Sales,Sales Representative,0.7252,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,1.0,LOW,"Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
942,Research & Development,Healthcare Representative,0.0834,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,2.0,LOW,Business & Technical Writing: Structuring Executive Summaries & Proposals; Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub
944,Research & Development,Laboratory Technician,0.1276,LOW,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
945,Research & Development,Research Scientist,0.0891,LOW,,,,Computer and Information Research Scientists,medium,9.0,HIGH,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
947,Sales,Sales Executive,0.0713,LOW,,,,Sales Managers,low,3.0,LOW,"Technical & Regulatory Documentation Analysis Workshop; Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
949,Research & Development,Research Scientist,0.0797,LOW,,,,Computer and Information Research Scientists,medium,0.0,LOW,None - No skill gaps identified
950,Research & Development,Research Director,0.0102,LOW,,,,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
951,Research & Development,Laboratory Technician,0.3039,LOW,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track
952,Sales,Sales Representative,0.9385,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,5.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals
954,Sales,Sales Executive,0.7206,HIGH,,,,Sales Managers,low,6.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar
956,Sales,Sales Executive,0.6081,HIGH,,,,Sales Managers,low,3.0,LOW,"Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Java & Multi-Language Software Development with Eclipse IDE & Git Plugins"
957,Research & Development,Laboratory Technician,0.2084,LOW,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
958,Research & Development,Laboratory Technician,0.1092,LOW,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp
959,Sales,Sales Representative,0.9693,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,6.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
960,Research & Development,Laboratory Technician,0.9449,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,"Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
961,Research & Development,Healthcare Representative,0.3536,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,4.0,MEDIUM,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Business & Technical Writing: Structuring Executive Summaries & Proposals; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
964,Research & Development,Research Scientist,0.6844,HIGH,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Cloud Data Warehousing & High-Performance SQL Analytics with Amazon Redshift; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
966,Research & Development,Manufacturing Director,0.1397,LOW,,,,Industrial Production Managers,low,2.0,LOW,"Strategic Problem Solving & Root Cause Decision Analysis Seminar; Motion Graphics, Video Storytelling & Product Animation with After Effects"
967,Sales,Sales Executive,0.402,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
969,Research & Development,Healthcare Representative,0.1616,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub
970,Sales,Sales Executive,0.9088,HIGH,,,,Sales Managers,low,1.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
972,Research & Development,Laboratory Technician,0.082,LOW,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
974,Sales,Sales Representative,0.5808,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,4.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Business & Technical Writing: Structuring Executive Summaries & Proposals; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
975,Sales,Sales Executive,0.2729,LOW,,,,Sales Managers,low,2.0,LOW,"Adobe Creative Cloud Bootcamp: Multi-App Visual Design & Asset Management; B2B Social Media Marketing, Meta Business Suite & Targeted Outreach Campaigns"
976,Research & Development,Manager,0.0135,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
977,Research & Development,Research Scientist,0.252,LOW,,,,Computer and Information Research Scientists,medium,3.0,LOW,"Strategic Problem Solving & Root Cause Decision Analysis Seminar; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; AWS Solutions Architect: Core Cloud Services, IAM & Architecture Design"
981,Sales,Manager,0.303,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
982,Sales,Sales Executive,0.3975,LOW,,,,Sales Managers,low,3.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling; Java & Multi-Language Software Development with Eclipse IDE & Git Plugins"
983,Sales,Sales Executive,0.6608,HIGH,,,,Sales Managers,low,6.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar
984,Sales,Sales Executive,0.0598,LOW,,,,Sales Managers,low,1.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
985,Sales,Sales Executive,0.1117,LOW,,,,Sales Managers,low,3.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling
986,Sales,Sales Executive,0.4585,HIGH,,,,Sales Managers,low,5.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Operational Process Auditing & KPI Performance Monitoring Protocols
987,Research & Development,Manufacturing Director,0.0407,LOW,,,,Industrial Production Managers,low,1.0,LOW,AutoCAD Essentials: Mechanical/Architectural Drafting & Dimensioning Standards
990,Sales,Sales Executive,0.0409,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
991,Research & Development,Research Scientist,0.7928,HIGH,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
992,Sales,Manager,0.3737,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
994,Research & Development,Research Scientist,0.8438,HIGH,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
995,Research & Development,Research Scientist,0.2689,LOW,,,,Computer and Information Research Scientists,medium,3.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Continuous Professional Learning & Rapid Skill Acquisition Frameworks; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
996,Research & Development,Laboratory Technician,0.0292,LOW,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp
997,Research & Development,Research Director,0.0045,LOW,,,,Natural Sciences Managers,low,4.0,MEDIUM,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; Technical & Regulatory Documentation Analysis Workshop; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
998,Research & Development,Healthcare Representative,0.3107,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,2.0,LOW,Continuous Professional Learning & Rapid Skill Acquisition Frameworks; Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub
999,Research & Development,Research Director,0.0121,LOW,,,,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
1001,Research & Development,Laboratory Technician,0.84,HIGH,2.0,5.0,5.0,Medical and Clinical Laboratory Technicians,medium,7.0,HIGH,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
1002,Research & Development,Laboratory Technician,0.3951,LOW,4.0,5.0,3.0,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration
1003,Sales,Sales Executive,0.2085,LOW,2.0,5.0,2.0,Sales Managers,low,2.0,LOW,"Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
1004,Research & Development,Research Scientist,0.8886,HIGH,3.0,5.0,3.0,Computer and Information Research Scientists,medium,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
1005,Research & Development,Manufacturing Director,0.097,LOW,2.0,4.0,5.0,Industrial Production Managers,low,0.0,LOW,None - No skill gaps identified
1006,Research & Development,Research Scientist,0.2266,LOW,5.0,2.0,1.0,Computer and Information Research Scientists,medium,7.0,HIGH,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
1007,Research & Development,Manufacturing Director,0.0426,LOW,2.0,1.0,5.0,Industrial Production Managers,low,2.0,LOW,"Motion Graphics, Video Storytelling & Product Animation with After Effects; AutoCAD Essentials: Mechanical/Architectural Drafting & Dimensioning Standards"
1009,Research & Development,Manufacturing Director,0.0759,LOW,2.0,5.0,1.0,Industrial Production Managers,low,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
1010,Research & Development,Laboratory Technician,0.7147,HIGH,2.0,4.0,2.0,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar; Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp
1011,Research & Development,Manufacturing Director,0.2239,LOW,1.0,2.0,3.0,Industrial Production Managers,low,4.0,MEDIUM,"Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Motion Graphics, Video Storytelling & Product Animation with After Effects"
1012,Research & Development,Research Scientist,0.2747,LOW,3.0,5.0,4.0,Computer and Information Research Scientists,medium,7.0,HIGH,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Continuous Professional Learning & Rapid Skill Acquisition Frameworks
1013,Research & Development,Manufacturing Director,0.0538,LOW,5.0,4.0,3.0,Industrial Production Managers,low,1.0,LOW,Commercial Image Retouching & Asset Production with Adobe Photoshop
1014,Research & Development,Healthcare Representative,0.7076,HIGH,4.0,4.0,1.0,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,1.0,LOW,Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub
1015,Research & Development,Research Director,0.1023,LOW,1.0,1.0,3.0,Natural Sciences Managers,low,1.0,LOW,Advanced Statistical Inference & Predictive Modeling using IBM SPSS
1016,Research & Development,Research Scientist,0.8745,HIGH,2.0,3.0,2.0,Computer and Information Research Scientists,medium,8.0,HIGH,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
1017,Research & Development,Laboratory Technician,0.8143,HIGH,4.0,1.0,3.0,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track
1018,Research & Development,Manufacturing Director,0.0378,LOW,4.0,1.0,4.0,Industrial Production Managers,low,0.0,LOW,None - No skill gaps identified
1019,Research & Development,Laboratory Technician,0.8921,HIGH,1.0,3.0,5.0,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
1022,Research & Development,Healthcare Representative,0.2032,LOW,1.0,4.0,4.0,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,7.0,HIGH,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop
1024,Research & Development,Healthcare Representative,0.0729,LOW,5.0,3.0,1.0,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,1.0,LOW,Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp
1025,Research & Development,Manufacturing Director,0.1882,LOW,4.0,1.0,4.0,Industrial Production Managers,low,2.0,LOW,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
1026,Research & Development,Manufacturing Director,0.0729,LOW,5.0,2.0,5.0,Industrial Production Managers,low,0.0,LOW,None - No skill gaps identified
1027,Research & Development,Manufacturing Director,0.1044,LOW,2.0,3.0,5.0,Industrial Production Managers,low,4.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols; Commercial Image Retouching & Asset Production with Adobe Photoshop
1028,Research & Development,Laboratory Technician,0.2237,LOW,5.0,5.0,4.0,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp"
1029,Sales,Manager,0.1777,LOW,3.0,5.0,4.0,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
1030,Research & Development,Laboratory Technician,0.395,LOW,4.0,4.0,1.0,Medical and Clinical Laboratory Technicians,medium,3.0,LOW,"Technical & Regulatory Documentation Analysis Workshop; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; Google Workspace Collaboration: Document Co-Authoring & Cloud Governance"
1032,Research & Development,Manufacturing Director,0.2171,LOW,5.0,4.0,4.0,Industrial Production Managers,low,4.0,MEDIUM,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
1033,Research & Development,Healthcare Representative,0.6987,HIGH,3.0,1.0,3.0,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,4.0,MEDIUM,"Business & Technical Writing: Structuring Executive Summaries & Proposals; Advanced Statistical Inference & Predictive Modeling using IBM SPSS; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
1034,Research & Development,Healthcare Representative,0.3847,LOW,2.0,5.0,1.0,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,2.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Advanced Statistical Inference & Predictive Modeling using IBM SPSS
1035,Research & Development,Research Director,0.0081,LOW,1.0,5.0,5.0,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
1036,Sales,Sales Executive,0.7716,HIGH,5.0,2.0,1.0,Sales Managers,low,5.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
1037,Sales,Sales Executive,0.8817,HIGH,5.0,1.0,4.0,Sales Managers,low,4.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
1038,Sales,Manager,0.0869,LOW,5.0,1.0,2.0,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
1039,Sales,Sales Executive,0.2573,LOW,2.0,4.0,5.0,Sales Managers,low,1.0,LOW,"B2B Social Media Marketing, Meta Business Suite & Targeted Outreach Campaigns"
1040,Sales,Sales Executive,0.0035,LOW,5.0,3.0,1.0,Sales Managers,low,1.0,LOW,Technical & Regulatory Documentation Analysis Workshop
1042,Research & Development,Laboratory Technician,0.4143,HIGH,1.0,3.0,4.0,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
1043,Research & Development,Manufacturing Director,0.4983,HIGH,1.0,1.0,3.0,Industrial Production Managers,low,0.0,LOW,None - No skill gaps identified
1044,Sales,Sales Representative,0.2808,LOW,2.0,4.0,5.0,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,6.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
1045,Sales,Manager,0.023,LOW,1.0,4.0,1.0,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
1046,Research & Development,Laboratory Technician,0.5833,HIGH,3.0,5.0,4.0,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Strategic Problem Solving & Root Cause Decision Analysis Seminar
1047,Sales,Sales Executive,0.0362,LOW,4.0,2.0,3.0,Sales Managers,low,0.0,LOW,None - No skill gaps identified
1048,Sales,Manager,0.4987,HIGH,3.0,1.0,4.0,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
1049,Human Resources,Human Resources,0.5568,HIGH,3.0,5.0,2.0,Human Resources Specialists,medium,4.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Business & Technical Writing: Structuring Executive Summaries & Proposals
1050,Sales,Sales Executive,0.2351,LOW,4.0,5.0,1.0,Sales Managers,low,0.0,LOW,None - No skill gaps identified
1052,Research & Development,Laboratory Technician,0.7194,HIGH,1.0,4.0,4.0,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
